CustomerID,Recency,Frequency,Monetary,Time,r_quartile,f_quartile,m_quartile,t_quartile,RFM_score,RFM_Total,Cluster
12985,1,76,1239.38,2,1,2,2,4,1224,9,2
12987,74,28,558.7,2,3,3,3,4,3334,13,1
12988,293,83,505.82,1,4,2,3,4,4234,13,1
12989,4,64,6924.11,11,1,2,1,1,1211,5,2
12990,32,13,409.5,3,2,4,3,4,2434,13,0
12991,24,31,503.76,2,2,3,3,4,2334,12,1
12993,24,27,414.76,4,2,3,3,3,2333,11,1
12994,5,61,974.42,3,1,2,2,4,1224,9,2
12995,86,3,211.32,1,3,4,4,4,3444,15,0
12997,23,59,1226.89,4,2,2,2,3,2223,9,1
12999,197,28,455.88,2,4,3,3,4,4334,14,0
13000,107,31,534.85,3,3,3,3,4,3334,13,1
13001,5,337,9785.97,9,1,1,1,2,1112,5,2
13002,319,7,120.95,1,4,4,4,4,4444,16,0
13003,106,6,149.05,3,3,4,4,4,3444,15,0
13004,12,404,5655.91,11,1,1,1,1,1111,4,2
13005,174,26,513.7,2,4,3,3,4,4334,14,0
13006,57,4,81.57,1,3,4,4,4,3444,15,0
13008,324,14,229.47,1,4,4,4,4,4444,16,0
13011,373,3,50.55,1,4,4,4,4,4444,16,0
13012,10,88,1646.84,5,1,2,1,3,1213,7,2
13013,2,219,4810.94,9,1,1,1,2,1112,5,2
13014,11,109,3466.28,6,1,1,1,3,1113,6,2
13015,54,175,3339.64,3,3,1,1,4,3114,9,1
13016,74,47,789.89,2,3,2,2,4,3224,11,1
13017,8,1,204,1,1,4,4,4,1444,13,0
13018,17,458,7277.7,10,1,1,1,1,1111,4,2
13021,5,131,2616.38,7,1,1,1,2,1112,5,2
13023,65,40,689.9,2,3,3,2,4,3324,12,1
13026,2,40,975.36,5,1,3,2,3,1323,9,2
13027,114,26,6912,5,3,3,1,3,3313,10,1
13028,23,45,661.32,2,2,2,2,4,2224,10,1
13029,31,10,1247.5,3,2,4,2,4,2424,12,1
13030,12,92,752.44,2,1,2,2,4,1224,9,1
13032,53,71,1010.18,2,3,2,2,4,3224,11,1
13033,358,11,190.55,1,4,4,4,4,4444,16,0
13034,55,37,642.77,2,3,3,3,4,3334,13,1
13035,74,27,921.88,2,3,3,2,4,3324,12,1
13037,139,48,881.07,3,3,2,2,4,3224,11,1
13038,81,28,908.46,3,3,3,2,4,3324,12,1
13040,9,43,676.99,2,1,2,2,4,1224,9,1
13043,274,13,516.42,1,4,4,3,4,4434,15,0
13044,292,33,560.47,1,4,3,3,4,4334,14,0
13045,100,18,305.28,1,3,3,3,4,3334,13,0
13046,31,35,629.31,2,2,3,3,4,2334,12,1
13047,32,172,3237.54,8,2,1,1,2,2112,6,2
13048,15,135,1819.41,4,1,1,1,3,1113,6,2
13049,65,14,656.68,2,3,4,2,4,3424,13,0
13050,15,403,5836.86,10,1,1,1,1,1111,4,2
13052,213,18,348.15,1,4,3,3,4,4334,14,0
13055,79,76,1214.41,2,3,2,2,4,3224,11,1
13058,25,8,271.4,3,2,4,4,4,2444,14,0
13059,250,8,183.4,1,4,4,4,4,4444,16,0
13060,254,15,307.53,1,4,4,3,4,4434,15,0
13061,73,10,248.61,1,3,4,4,4,3444,15,0
13062,192,11,346.98,1,4,4,3,4,4434,15,0
13064,13,68,1105.59,4,1,2,2,3,1223,8,1
13065,374,14,205.86,1,4,4,4,4,4444,16,0
13066,25,48,470.8,1,2,2,3,4,2234,11,1
13067,83,15,115.46,1,3,4,4,4,3444,15,0
13068,11,2,344,2,1,4,3,4,1434,12,0
13069,1,424,4431.44,13,1,1,1,1,1111,4,2
13070,193,9,228.8,1,4,4,4,4,4444,16,0
13072,267,7,177.15,1,4,4,4,4,4444,16,0
13075,130,22,919.61,1,3,3,2,4,3324,12,1
13077,2,111,728.02,3,1,1,2,4,1124,8,2
13078,4,358,12627.94,13,1,1,1,1,1111,4,2
13079,5,6,220.1,4,1,4,4,3,1443,12,0
13080,180,6,58.08,1,4,4,4,4,4444,16,0
13081,12,1024,28337.38,7,1,1,1,2,1112,5,2
13082,127,73,3613.63,6,3,2,1,3,3213,9,1
13083,5,18,303.75,2,1,3,3,4,1334,11,1
13085,158,22,416.08,2,4,3,3,4,4334,14,0
13089,3,1814,58762.08,13,1,1,1,1,1111,4,2
13090,9,155,8910.82,10,1,1,1,1,1111,4,2
13091,29,21,345.82,1,2,3,3,4,2334,12,1
13092,71,25,477.83,5,3,3,3,3,3333,12,1
13093,276,159,7832.47,4,4,1,1,3,4113,9,1
13094,22,24,1927.32,10,2,3,1,1,2311,7,1
13095,71,6,74.4,1,3,4,4,4,3444,15,0
13097,33,421,6003.22,9,2,1,1,2,2112,6,2
13098,2,572,28882.44,12,1,1,1,1,1111,4,2
13099,100,1,207.36,1,3,4,4,4,3444,15,0
13101,235,8,101.19,1,4,4,4,4,4444,16,0
13102,2,304,6424.09,12,1,1,1,1,1111,4,2
13103,40,8,243.94,1,2,4,4,4,2444,14,0
13104,4,20,1098.48,6,1,3,2,3,1323,9,2
13106,134,1,76.5,1,3,4,4,4,3444,15,0
13107,45,58,1531.62,4,2,2,2,3,2223,9,1
13108,373,10,350.06,1,4,4,3,4,4434,15,0
13109,60,47,786.54,2,3,2,2,4,3224,11,1
13110,32,145,1488.67,5,2,1,2,3,2123,8,1
13113,1,200,12245.96,11,1,1,1,1,1111,4,2
13115,12,120,2294.78,3,1,1,1,4,1114,7,2
13116,139,30,501.14,1,3,3,3,4,3334,13,1
13117,22,76,984.91,7,2,2,2,2,2222,8,1
13118,20,79,1197.81,4,2,2,2,3,2223,9,1
13120,239,1,30.6,1,4,4,4,4,4444,16,0
13121,270,50,283.73,1,4,2,4,4,4244,14,0
13122,95,55,922.39,2,3,2,2,4,3224,11,1
13124,90,222,3756.33,3,3,1,1,4,3114,9,1
13126,5,140,2099.64,6,1,1,1,3,1113,6,2
13127,78,15,259.17,1,3,4,4,4,3444,15,0
13130,95,2,64,1,3,4,4,4,3444,15,0
13131,24,44,1073.3,3,2,2,2,4,2224,10,1
13132,262,3,77.3,1,4,4,4,4,4444,16,0
13133,274,7,109.8,2,4,4,4,4,4444,16,0
13134,86,98,1793.58,3,3,2,1,4,3214,10,1
13135,197,1,3096,1,4,4,1,4,4414,13,0
13136,57,127,2607.61,4,3,1,1,3,3113,8,1
13137,11,687,3603.29,7,1,1,1,2,1112,5,2
13138,23,63,962.39,6,2,2,2,3,2223,9,1
13139,17,170,5064.94,5,1,1,1,3,1113,6,2
13140,109,45,422.47,2,3,2,3,4,3234,12,1
13141,85,135,2388.75,4,3,1,1,3,3113,8,1
13142,20,23,307.09,1,2,3,3,4,2334,12,1
13144,333,3,110.95,1,4,4,4,4,4444,16,0
13145,40,6,618.52,4,2,4,3,3,2433,12,0
13146,27,17,228.91,1,2,4,4,4,2444,14,0
13147,11,4,712.8,3,1,4,2,4,1424,11,0
13148,30,312,3683.26,6,2,1,1,3,2113,7,2
13149,15,86,1676.06,4,1,2,1,3,1213,7,2
13151,296,74,1257.87,1,4,2,2,4,4224,12,1
13153,6,15,486.22,1,1,4,3,4,1434,12,1
13155,34,85,971.76,4,2,2,2,3,2223,9,1
13157,50,87,1741.22,4,2,2,1,3,2213,8,1
13158,95,79,1201.06,4,3,2,2,3,3223,10,1
13159,9,120,1429.35,3,1,1,2,4,1124,8,2
13160,23,4,91.8,1,2,4,4,4,2444,14,0
13161,314,8,112.75,1,4,4,4,4,4444,16,0
13162,123,79,1688.29,4,3,2,1,3,3213,9,1
13165,47,42,1021.48,2,2,2,2,4,2224,10,1
13166,284,41,417.2,1,4,2,3,4,4234,13,0
13167,19,65,791.33,4,2,2,2,3,2223,9,1
13168,37,126,1299.59,4,2,1,2,3,2123,8,1
13169,64,13,712.88,2,3,4,2,4,3424,13,0
13170,27,30,108.81,1,2,3,4,4,2344,13,0
13171,22,46,468.41,3,2,2,3,4,2234,11,1
13173,5,43,353.65,2,1,2,3,4,1234,10,1
13174,17,293,2742.82,3,1,1,1,4,1114,7,2
13176,47,67,481.49,1,2,2,3,4,2234,11,1
13177,65,17,282.45,1,3,4,4,4,3444,15,0
13178,27,265,5725.47,8,2,1,1,2,2112,6,2
13182,46,11,121.18,1,2,4,4,4,2444,14,0
13183,8,94,3957.78,8,1,2,1,2,1212,6,2
13184,15,179,1668.95,6,1,1,1,3,1113,6,2
13185,268,1,71.4,1,4,4,4,4,4444,16,0
13186,40,79,1575.89,3,2,2,1,4,2214,9,1
13187,338,37,236.02,1,4,3,4,4,4344,15,0
13188,12,2,114.6,1,1,4,4,4,1444,13,0
13189,19,29,260.68,2,2,3,4,4,2344,13,1
13192,96,63,911.94,2,3,2,2,4,3224,11,1
13193,62,25,112.08,1,3,3,4,4,3344,14,0
13194,136,3,60.7,1,3,4,4,4,3444,15,0
13196,12,110,1797.78,3,1,1,1,4,1114,7,2
13198,11,226,3401.24,6,1,1,1,3,1113,6,2
13199,4,119,9817.12,13,1,1,1,1,1111,4,2
13200,20,46,870.09,3,2,2,2,4,2224,10,1
13203,10,57,869.46,4,1,2,2,3,1223,8,1
13207,16,8,250.26,2,1,4,4,4,1444,13,0
13208,59,148,1217.65,5,3,1,2,3,3123,9,1
13209,31,321,5891.61,6,2,1,1,3,2113,7,2
13210,94,22,353.48,1,3,3,3,4,3334,13,0
13211,11,55,1095.42,3,1,2,2,4,1224,9,1
13212,20,141,786.83,2,2,1,2,4,2124,9,1
13213,57,90,1520.58,4,3,2,2,3,3223,10,1
13216,268,5,333.74,1,4,4,3,4,4434,15,0
13217,123,4,533.98,2,3,4,3,4,3434,14,0
13218,128,5,62.64,1,3,4,4,4,3444,15,0
13220,79,21,819.29,4,3,3,2,3,3323,11,1
13221,241,66,847.41,2,4,2,2,4,4224,12,1
13223,201,5,163.2,2,4,4,4,4,4444,16,0
13224,61,108,2155.95,2,3,1,1,4,3114,9,1
13225,4,32,6463.84,7,1,3,1,2,1312,7,2
13226,274,16,108.21,1,4,4,4,4,4444,16,0
13227,202,9,257.7,1,4,4,4,4,4444,16,0
13228,82,2,358,1,3,4,3,4,3434,14,0
13229,226,10,160.95,1,4,4,4,4,4444,16,0
13230,5,587,2755.63,9,1,1,1,2,1112,5,2
13232,13,202,1328.35,5,1,1,2,3,1123,7,2
13233,75,43,605.12,2,3,2,3,4,3234,12,1
13235,213,58,1031.07,1,4,2,2,4,4224,12,1
13236,25,36,744.85,2,2,3,2,4,2324,11,1
13238,18,31,700.73,3,1,3,2,4,1324,10,1
13239,262,21,329.56,1,4,3,3,4,4334,14,0
13240,97,67,663.65,4,3,2,2,3,3223,10,1
13242,113,13,270.4,2,3,4,4,4,3444,15,0
13243,204,57,585.12,1,4,2,3,4,4234,13,1
13244,93,27,121.74,1,3,3,4,4,3344,14,0
13245,51,16,430.5,1,2,4,3,4,2434,13,0
13246,19,136,1961.52,5,2,1,1,3,2113,7,2
13247,18,25,501.12,3,1,3,3,4,1334,11,1
13248,125,26,465.68,2,3,3,3,4,3334,13,0
13249,93,23,711.41,2,3,3,2,4,3324,12,1
13253,157,36,1030.4,2,4,3,2,4,4324,13,1
13255,10,13,399.51,2,1,4,3,4,1434,12,1
13258,12,36,672.83,2,1,3,2,4,1324,10,1
13259,62,81,283.18,1,3,2,4,4,3244,13,1
13260,62,8,557.62,1,3,4,3,4,3434,14,0
13261,269,9,944.1,2,4,4,2,4,4424,14,0
13262,264,11,200.29,1,4,4,4,4,4444,16,0
13263,2,1667,7436.93,11,1,1,1,1,1111,4,2
13265,54,90,2092.66,5,3,2,1,3,3213,9,1
13266,12,187,3834.26,9,1,1,1,2,1112,5,2
13267,3,211,4521.49,10,1,1,1,1,1111,4,2
13268,18,433,3174.75,6,1,1,1,3,1113,6,2
13269,2,315,5343.28,10,1,1,1,1,1111,4,2
13270,367,1,590,1,4,4,3,4,4434,15,0
13271,38,87,211.49,1,2,2,4,4,2244,12,1
13272,32,15,276.56,2,2,4,4,4,2444,14,0
13273,114,16,138.98,1,3,4,4,4,3444,15,0
13276,64,30,590.93,2,3,3,3,4,3334,13,1
13277,16,8,258.4,3,1,4,4,4,1444,13,0
13278,41,46,542.73,1,2,2,3,4,2234,11,1
13279,79,9,137.75,1,3,4,4,4,3444,15,0
13280,123,82,798.46,2,3,2,2,4,3224,11,1
13282,19,37,1132.14,3,2,3,2,4,2324,11,1
13283,60,7,93.66,2,3,4,4,4,3444,15,0
13284,331,13,201.19,1,4,4,4,4,4444,16,0
13285,24,187,2709.12,4,2,1,1,3,2113,7,2
13291,156,42,361.11,1,4,2,3,4,4234,13,1
13292,39,31,578.94,2,2,3,3,4,2334,12,1
13294,190,54,873.74,2,4,2,2,4,4224,12,1
13295,360,10,201.2,1,4,4,4,4,4444,16,0
13296,138,5,87.4,1,3,4,4,4,3444,15,0
13297,8,59,2089.85,3,1,2,1,4,1214,8,2
13298,2,2,360,1,1,4,3,4,1434,12,0
13299,269,5,142.5,1,4,4,4,4,4444,16,0
13300,170,20,371.89,1,4,3,3,4,4334,14,0
13301,104,81,618.09,4,3,2,3,3,3233,11,1
13302,156,1,63.75,1,4,4,4,4,4444,16,0
13304,352,21,300.42,1,4,3,3,4,4334,14,0
13305,5,81,2000.86,9,1,2,1,2,1212,6,2
13307,121,1,15,1,3,4,4,4,3444,15,0
13308,23,54,1385.51,3,2,2,2,4,2224,10,1
13309,8,107,1456.79,5,1,1,2,3,1123,7,2
13310,29,72,1132.03,3,2,2,2,4,2224,10,1
13311,5,26,598.57,2,1,3,3,4,1334,11,1
13313,23,78,1555.32,4,2,2,2,3,2223,9,1
13314,2,62,775.94,3,1,2,2,4,1224,9,2
13316,38,86,5732.93,4,2,2,1,3,2213,8,2
13317,67,124,2273.68,4,3,1,1,3,3113,8,1
13318,2,20,640.76,2,1,3,3,4,1334,11,2
13319,6,476,10845.55,13,1,1,1,1,1111,4,2
13320,79,105,1532.2,3,3,1,2,4,3124,10,1
13321,73,11,567.36,1,3,4,3,4,3434,14,0
13322,18,25,199.48,1,1,3,4,4,1344,12,1
13323,4,21,787.85,3,1,3,2,4,1324,10,2
13324,37,75,7121.95,6,2,2,1,3,2213,8,2
13325,82,12,675.3,1,3,4,2,4,3424,13,0
13327,39,108,3627.77,7,2,1,1,2,2112,6,2
13328,317,17,1308.48,1,4,4,2,4,4424,14,0
13329,32,17,789,2,2,4,2,4,2424,12,1
13330,93,53,1140.93,3,3,2,2,4,3224,11,1
13332,15,21,350.9,1,1,3,3,4,1334,11,1
13334,83,265,3502.32,3,3,1,1,4,3114,9,1
13336,78,51,795.12,1,3,2,2,4,3224,11,1
13338,158,19,487.02,1,4,3,3,4,4334,14,0
13339,201,54,860.12,1,4,2,2,4,4224,12,1
13340,46,134,10736.48,4,2,1,1,3,2113,7,2
13341,261,42,775.85,1,4,2,2,4,4224,12,1
13343,178,19,353.43,1,4,3,3,4,4334,14,0
13344,68,116,2511.69,2,3,1,1,4,3114,9,1
13345,288,20,389.5,1,4,3,3,4,4334,14,0
13347,71,8,341.36,1,3,4,3,4,3434,14,0
13348,65,14,233.76,1,3,4,4,4,3444,15,0
13349,11,16,247.32,1,1,4,4,4,1444,13,1
13350,17,40,979.12,2,1,3,2,4,1324,10,1
13351,67,16,373.94,1,3,4,3,4,3434,14,0
13352,61,24,397.98,1,3,3,3,4,3334,13,1
13354,72,51,743.53,1,3,2,2,4,3224,11,1
13355,123,32,674.7,1,3,3,2,4,3324,12,1
13356,81,42,768.24,1,3,2,2,4,3224,11,1
13357,258,89,609.4,1,4,2,3,4,4234,13,1
13358,269,29,439.03,1,4,3,3,4,4334,14,0
13359,64,23,439.56,1,3,3,3,4,3334,13,1
13362,10,166,3090.74,4,1,1,1,3,1113,6,2
13363,18,60,992.5,2,1,2,2,4,1224,9,1
13364,72,10,134.96,1,3,4,4,4,3444,15,0
13365,34,128,2225.37,2,2,1,1,4,2114,8,1
13366,51,1,56.16,1,2,4,4,4,2444,14,0
13368,257,29,623.4,2,4,3,3,4,4334,14,0
13369,366,14,308.28,1,4,4,3,4,4434,15,0
13370,372,39,754.87,1,4,3,2,4,4324,13,0
13372,90,23,378.64,1,3,3,3,4,3334,13,0
13373,61,158,3312.25,3,3,1,1,4,3114,9,1
13375,89,37,778.65,1,3,3,2,4,3324,12,1
13376,100,53,1019.76,3,3,2,2,4,3224,11,1
13379,27,97,572.56,3,2,2,3,4,2234,11,1
13381,32,172,3639.31,6,2,1,1,3,2113,7,2
13382,281,15,222.99,1,4,4,4,4,4444,16,0
13384,31,152,4151.93,5,2,1,1,3,2113,7,2
13385,330,35,534.57,1,4,3,3,4,4334,14,0
13388,132,35,677.1,1,3,3,2,4,3324,12,1
13389,12,51,797.96,3,1,2,2,4,1224,9,1
13390,75,13,544.08,1,3,4,3,4,3434,14,0
13391,204,1,59.8,1,4,4,4,4,4444,16,0
13394,2,155,2520.02,8,1,1,1,2,1112,5,2
13395,186,21,307.72,1,4,3,3,4,4334,14,0
13396,30,43,1360.99,2,2,2,2,4,2224,10,1
13397,73,38,1544.13,5,3,3,2,3,3323,11,1
13398,193,26,457.34,1,4,3,3,4,4334,14,0
13402,128,39,621.23,2,3,3,3,4,3334,13,1
13403,18,3,75,1,1,4,4,4,1444,13,0
13404,2,11,252.49,2,1,4,4,4,1444,13,1
13405,75,27,572.451,3,3,3,3,4,3334,13,1
13408,2,478,28117.04,13,1,1,1,1,1111,4,2
13410,25,28,1003.06,5,2,3,2,3,2323,10,1
13411,108,18,213.55,1,3,3,4,4,3344,14,0
13414,134,24,1390.5,2,3,3,2,4,3324,12,1
13416,44,19,712.5,2,2,3,2,4,2324,11,1
13417,5,28,640.83,2,1,3,3,4,1334,11,1
13418,12,304,6127.43,9,1,1,1,2,1112,5,2
13419,64,16,221.06,1,3,4,4,4,3444,15,0
13420,150,8,159.85,2,4,4,4,4,4444,16,0
13421,41,102,1833.71,2,2,1,1,4,2114,8,1
13422,65,127,2626.3,1,3,1,1,4,3114,9,1
13425,109,78,1624.21,3,3,2,1,4,3214,10,1
13426,1,157,3641.32,9,1,1,1,2,1112,5,2
13427,20,29,582.6,3,2,3,3,4,2334,12,1
13428,11,71,201.78,1,1,2,4,4,1244,11,1
13429,11,67,1006.8,3,1,2,2,4,1224,9,2
13430,19,49,679.45,2,2,2,2,4,2224,10,1
13431,68,46,1269.1,2,3,2,2,4,3224,11,1
13434,75,10,534.24,1,3,4,3,4,3434,14,0
13435,6,101,3809.89,6,1,1,1,3,1113,6,2
13436,2,12,196.89,1,1,4,4,4,1444,13,1
13437,15,167,3408.06,4,1,1,1,3,1113,6,2
13439,256,54,283.71,1,4,2,4,4,4244,14,0
13441,92,13,296.64,1,3,4,4,4,3444,15,0
13447,24,59,1129.14,1,2,2,2,4,2224,10,1
13448,17,194,3534.69,4,1,1,1,3,1113,6,2
13449,24,19,291.88,1,2,3,4,4,2344,13,1
13450,27,71,2043.72,5,2,2,1,3,2213,8,1
13451,27,433,2898.26,5,2,1,1,3,2113,7,2
13452,260,2,590,1,4,4,3,4,4434,15,0
13453,166,17,356.98,2,4,4,3,4,4434,15,0
13455,25,46,1058.34,2,2,2,2,4,2224,10,1
13456,18,63,1766.72,5,1,2,1,3,1213,7,1
13458,8,382,9646.57,11,1,1,1,1,1111,4,2
13460,30,17,183.44,2,2,4,4,4,2444,14,0
13461,39,27,1445,3,2,3,2,4,2324,11,1
13462,253,9,151.5,1,4,4,4,4,4444,16,0
13464,59,41,674.68,1,3,2,2,4,3224,11,1
13466,185,17,307.9,1,4,4,3,4,4434,15,0
13467,11,98,1071.91,1,1,2,2,4,1224,9,2
13468,2,302,5704.97,13,1,1,1,1,1111,4,2
13470,100,10,165,2,3,4,4,4,3444,15,0
13471,2,254,2501.84,3,1,1,1,4,1114,7,2
13473,61,21,422.64,2,3,3,3,4,3334,13,1
13474,237,62,226.84,1,4,2,4,4,4244,14,0
13475,192,86,1431.78,4,4,2,2,3,4223,11,1
13476,179,58,1238.47,2,4,2,2,4,4224,12,1
13477,38,79,1454.58,6,2,2,2,3,2223,9,1
13479,201,15,300.95,2,4,4,3,4,4434,15,0
13481,46,109,1804.56,4,2,1,1,3,2113,7,1
13482,233,11,184.64,1,4,4,4,4,4444,16,0
13483,66,10,140.34,1,3,4,4,4,3444,15,0
13484,242,8,313.8,1,4,4,3,4,4434,15,0
13485,234,23,454.24,1,4,3,3,4,4334,14,0
13486,79,69,1122.41,3,3,2,2,4,3224,11,1
13487,58,34,575.4,3,3,3,3,4,3334,13,1
13488,18,422,8968.31,10,1,1,1,1,1111,4,2
13489,106,14,449.52,3,3,4,3,4,3434,14,0
13491,52,86,1215.82,7,3,2,2,2,3222,9,1
13494,312,18,316.26,1,4,3,3,4,4334,14,0
13495,8,48,2044.87,4,1,2,1,3,1213,7,2
13496,11,35,653.33,2,1,3,2,4,1324,10,1
13497,283,19,348.05,2,4,3,3,4,4334,14,0
13499,18,42,1159.11,4,1,2,2,3,1223,8,1
13500,24,65,1166.77,2,2,2,2,4,2224,10,1
